address,maxClaimable
0x0c3B527716BEc6c0aDBA05CAa87C967367Fe2520,1
0xdFdaA60732C9219166C2e3c824edCF47c8D9D2a1,1
0x2F23AfAd9fc4Ac5646F4f3bffA0035D290f5b60a,1
0x5d62c086006301F0b3Fb0Bb6b3823FB86C7Eed2B,1
0x4D72aE041c3C223C01740779385101A73d6A86d0,1
0x5C6e282bb1ADF57B18C4fF5Cab3Ad9353b319D9C,1
0x63156C12F11F4bF91e8cB62aBE6ca4F11dD31f4E,1
0x783DB1Cc1C95de49E2E0ce1CfDee5243c6dd9B97,1
0xB728184Cd1eEfFe41561EF0824f5a6AE9a42Debf,1
0xc0421bCC56e9A47E17ba9b72A31D49afdC5Fb28B,1
0x288a710B511b60AA5c8E49eFa7A8C95Cf112E25f,1
0x2246958fBAE96e4B2c86043d218D16525536c1f3,1
0x5ea2f103A5B19d14821F7cd349C5CEdBdb2E72B5,1
0xEBE326d8De3413F8132518dcFd45e6cBFf7E5c27,1
0x26B95543bC438a938aD9DCE40E13B2af3FaF9324,1
0xEdcd5AB5f59f7488dB36249a46e6684144A3990b,1
0x88eE97D98C235FF49BDF4017b1141CAA58f973fF,1
0x64807bE67f8aAC0E1318e2eD8f07bc04359aD848,1
0x6afeBDB61aF212dDb1223b4cbe39be62735F80D4,1
0x2d9AA3FE85c8980330A5C304379aE0B389548d9a,1
0x5bE04C6A1600FdcaD26F28af2e77DFA3dd57376F,1
0xcD8b3e83E8791c3ac130C8131064A9dB209B29BC,1
0x8aEb6c73914c316BFC355148EF1F16E4313a0Ddb,1
0x6dcD6449dbCa615e40d696328209686eA95327b2,1
0xaA6d00fa479Df93f0FFd1Bf8D78a5427e3f9cDFf,1
0x9C478497b69c191B5E0efaEaEa1a6F21c7d6576a,1
0x33854072b9294f465cfd395c76F29e4266C3902a,1
0x7cFb8C97B7Ffd6a5b224d9583ad7E67e052Fd80E,1
0x590bc22F4D407AbcD8603817F7C5CeAe8CCDc756,1
0x6c6065E832CceEA4f908d8710182e9353f213915,1
0xDa830d2D83A57Cea255bCfD0Cf89C3e94Abde0FD,1
0xE99993c9fb4A08CB8636C56FD6d08D7cF017ba9A,1
0xf80D45Dbc2463fd37914b3cdE5871aDfdaDb62Da,1
0x1C03C76B01cABb6Ec35c684Cc9a8e65B5490b9F9,1
0x6ec2B4d86f24AD350401c4713AE157BD2188f5A1,1
0x87DF7FA3B0e4eb8C6B1dcAe9a2A2deE95eB671C3,1
0x5920541d43dd3bC29FB52F1B08Cf4c3f03C3aE47,1
0xd8159f53218fBcD319a17Caf25c3C18ADb9B6a1b,1
0xe43bB79dFA90ee132fe630AfD8a5C01cf6B71511,1
0xDb87102c562A2374c36e6F5dA75A4Acbe1ad8D23,1
0x7e53AF93688908D67fc3ddcE3f4B033dBc257C20,1
0x2dFDD079A3Bec15C447B68e26ac4234f9FCBbDFA,1
0x159d9f793a0B4fF29afEd0178176F11d06D098C7,1
0x163F667Ec041D242C8481E0B057875FBD2220817,1
0xD365752F06e0Afc9E665260d9B264Ac347743020,1
0xE0E82025A36104045cC2DA865d75e47B8A2DDAEc,1
0x97F3aee52f15c18CE357d3803cb1E64433eab389,1
0x2F653A467EcBab396c3AB5457FB78f4E479475D6,1
0x54561C50ECf511E577bb696D9A5443e32e930F1D,1
0x0C37f58a3a53E3c6C0873F4d18a12E4D1142262b,1
0x1E7cF5abBb02C6cab4D2c59bE8d5718579AD164D,1
0x99DA076Ab3A6cD779Ab24347Aae9398B29e2EA4f,1
0x7dff1A3603026329971947482fD9A78D2C77fa98,1
0x64f52BbF8B1EB6E87fC402178e412DC632489D72,1
0xd47DA940FA702c62276827af78748BdB39d9A3Ea,1
0x1D4B86FCBef3ce50690c4abbb2a2fb6e892059Bb,1
0x169b25f45630a91D85a86Aa0C5F98A1AC82907c1,1
0xB4233A03c0478804e36Db24227D63F5a4aCA384B,1
0x2b1264C28A485e2a9A3603d9c0385A169c08319B,1
0xFD3733753DdDDa77d1e35fEffe81981db6425a26,1
0x01A45E8F826976b6bD7792B35FD0978Ea163d27c,1
0xE9F178b4F077ae0F6bF224B7Aaad922507aB8227,1
0x3e8b395c835498682Ff42dAcefc733bcB5B370B5,1
0xDd24922ddeEFbddC68a629158dC84ABE3eA9373f,1
0x8eE4169C68d0983e8933714f9716526021ab8A21,1
0xc09956866623Ac5c49cb543634b0a38a6Eeaa862,1
0x62f51faCfa86D506359Ed16126C61A09789b477B,1
0xF1Dbf0Ef1450B6F0cB03949C24e659343619fABD,1
0xB71B0F5E160045c54362D940ea6AaE82e01c8CB2,1
0x6A64D9ed5c81cbBB12D2b1FF2Bd4978264b7deE6,1
0xcCDf4a24d4424720607276eFADE0C486E3633ac1,1
0xaFCFfB457824276Dfc6CCdE9C0d5D4c514a2B2F2,1
0xCd24a0541e82Aa3020413e4Bac24A73dc25803A7,1
0x805CBfd2F816d855033B110f65f4a2Db5B05ef4b,1
0x39Ef374Cd2512A7512639a99A7aAE23546172276,1
0xBe1ec2501ff10b618E22db2504065427a1456BF4,1
0xb27b24bc2C2527F2104b664BB485C733B311446b,1
0xD29556e4e790e7D0258E7CAaC97A31Aabf19493A,1
0xeeBACbe97a8fc080aE2B372CE2191f360667A22E,1
0x6c7B764E89DFdf3344f0E94Dd2490cA18eA57743,1
0xF14A30C09897d2C7481c5907D01Ec58Ec09555af,1
0x3b8209701c3C5cca477917f12781c1B683df56A0,1
0x8ada45f2E5683e4464E3a7BB9059a7200618508E,1
0xc3D8Ef597c60834fD4602bb9B605fCF1dc5D4Cf5,1
0xABAC0951c30F3645cbEE64De4a160F16D4CF2eBa,1
0x6262861A6901a64b61C1F487EBDC30AA1a5f49a0,1
0xc0Bc3823fE932e372c2027A81765A87E4ECA7F4F,1
0xbb6712A513C2d7F3E17A40d095a773c5d98574B2,1
0x404fC47De3A7F95Fbe87f9341765B9875AC1178c,1
0x81bBb869BCbFD158eD0069ED232d517F8e8F2Aa0,1
0x5Aa21dD91e1E5F9304DeA38F4a0b2cD316aE9328,1
0x60E7d3CC3baA66eE0a977Fb98497712909Ae43DA,1
0x7aE88AB2E18EC182D509ebdCF4c5Eb272e8947d5,1
0x351AE3f9BA323c7aB7412Ef9F4Cf027444f05DAA,1
0x3E59F3DD1346379eD2718D4dB21bA4E2E51ffB45,1
0xacc2BCB43C51b01AE0AEcbfd67271d41cB65f376,1
0x77d5d91C830c938f6dd0713f91864f6b83977491,1
0x90181A2B3E536712b4B49dE81b8a07fEAf3Ea1e5,1
0x0E28c38930f96978383bAffEb2B008f83de84612,1
